Model,Brand,Year,Price,Mileage,Transmission
Toyota Alphard,Toyota,2014,"79,800",90 - 95K KM,Automatic
Mercedes-Benz CLA250,Mercedes-Benz,2016,"108,900",155 - 160K KM,Automatic
Volvo V50,Volvo,2006,"32,364",270 - 275K KM,Automatic
Ford Ranger,Ford,2021,"82,800",95 - 100K KM,Automatic
Ford Ranger,Ford,2019,"85,800",100 - 105K KM,Automatic
Proton Persona,Proton,2016,"24,400",128195 KM,Automatic
Honda CR-V,Honda,2023,"142,000",30 - 35K KM,Automatic
Mitsubishi Triton,Mitsubishi,2023,"110,000",10 - 15K KM,Automatic
Perodua Myvi,Perodua,2018,"43,000",43416 KM,Automatic
Perodua Myvi,Perodua,2019,"46,000",94028 KM,Automatic
Subaru XV,Subaru,2019,"79,800",55 - 60K KM,Automatic
Nissan Almera,Nissan,2017,"34,000",122571 KM,Automatic
Honda Civic,Honda,2023,"126,400",10 - 15K KM,Automatic
Honda Civic,Honda,2016,"75,300",125 - 130K KM,Automatic
Perodua Myvi,Perodua,2020,"48,000",70 - 75K KM,Automatic
Perodua Bezza,Perodua,2019,"31,500",70479 KM,Automatic
Honda Jazz,Honda,2017,"51,000",99915 KM,Automatic
Honda City,Honda,2014,"38,800",120 - 125K KM,Automatic
Perodua Bezza,Perodua,2016,"32,200",117750 KM,Automatic
Proton Exora,Proton,2020,"44,400",69977 KM,Automatic
Perodua Myvi,Perodua,2020,"49,000",30 - 35K KM,Automatic
Perodua Myvi,Perodua,2023,"54,500",5 - 10K KM,Automatic
Proton Persona,Proton,2020,"33,800",68562 KM,Automatic
Perodua Bezza,Perodua,2016,"31,800",111911 KM,Automatic
Perodua Myvi,Perodua,2019,"44,800",96580 KM,Automatic
Proton Saga,Proton,2021,"31,900",44293 KM,Automatic
Mazda CX-3,Mazda,2022,"95,000",30 - 35K KM,Automatic
Volkswagen Tiguan,Volkswagen,2018,"59,800",80 - 85K KM,Automatic
Toyota Vellfire,Toyota,2017,"149,800",70 - 75K KM,Automatic
BMW 520i,BMW,2020,"139,800",70 - 75K KM,Automatic
Ford Ranger,Ford,2018,"61,800",55 - 60K KM,Automatic
BMW X5,BMW,2019,"88,800",80 - 85K KM,Automatic
Mercedes-Benz GLC300,Mercedes-Benz,2022,"225,800",50 - 55K KM,Automatic
Volkswagen Tiguan,Volkswagen,2021,"76,800",55 - 60K KM,Automatic
Toyota Vellfire,Toyota,2017,"124,800",80 - 85K KM,Automatic
Volkswagen Tiguan,Volkswagen,2019,"62,800",65 - 70K KM,Automatic
Isuzu D-Max,Isuzu,2024,"95,800",35 - 40K KM,Automatic
Mercedes-Benz A250,Mercedes-Benz,2021,"166,800",45 - 50K KM,Automatic
Toyota Alphard,Toyota,2019,"161,800",90 - 95K KM,Automatic
Mitsubishi Triton,Mitsubishi,2020,"89,800",75 - 80K KM,Automatic
BMW 330i,BMW,2022,"175,800",35 - 40K KM,Automatic
Toyota Vellfire,Toyota,2019,"177,800",65 - 70K KM,Automatic
Nissan Navara,Nissan,2019,"54,800",70 - 75K KM,Automatic
Toyota Vellfire,Toyota,2021,"209,500",20 - 25K KM,Automatic
Honda CR-V,Honda,2022,"113,800",75 - 80K KM,Automatic
Volkswagen Tiguan,Volkswagen,2023,"141,800",0 - 5K KM,Automatic
BMW 320i,BMW,2020,"149,800",50 - 55K KM,Automatic
BMW X1,BMW,2022,"156,800",50 - 55K KM,Automatic
BMW 320i,BMW,2021,"155,800",45 - 50K KM,Automatic
BMW X3,BMW,2021,"219,800",35 - 40K KM,Automatic
Mercedes-Benz E200,Mercedes-Benz,2022,"248,000",20 - 25K KM,Automatic
BMW 320i,BMW,2023,"225,000",5 - 10K KM,Automatic
Audi A4,Audi,2016,"89,888",55 - 60K KM,Automatic
Perodua Myvi,Perodua,2015,"26,400",92951 KM,Automatic
Toyota Vios,Toyota,2023,"75,800",25 - 30K KM,Automatic
Proton Saga,Proton,2019,"27,000",77466 KM,Automatic
Proton Persona,Proton,2017,"30,000",127106 KM,Automatic
Perodua Bezza,Perodua,2019,"36,000",96806 KM,Automatic
Perodua Myvi,Perodua,2018,"42,800",106486 KM,Automatic
Toyota Vios,Toyota,2007,"22,800",185099 KM,Automatic
Perodua Myvi,Perodua,2013,"21,500",195775 KM,Automatic
Perodua Bezza,Perodua,2016,"26,000",133794 KM,Automatic
Honda City,Honda,2019,"61,200",83488 KM,Automatic
Perodua Myvi,Perodua,2024,"53,800",15698 KM,Automatic
Honda Jazz,Honda,2016,"52,000",130181 KM,Automatic
Toyota Yaris,Toyota,2019,"62,900",64752 KM,Automatic
Perodua Myvi,Perodua,2019,"45,800",62059 KM,Automatic
Nissan Almera,Nissan,2018,"29,777",65 - 70K KM,Automatic
Honda City,Honda,2018,"53,777",55 - 60K KM,Automatic
Honda City,Honda,2021,"66,777",70 - 75K KM,Automatic
Nissan Almera,Nissan,2014,"19,999",100 - 105K KM,Automatic
Perodua Myvi,Perodua,2012,"21,999",120 - 125K KM,Automatic
Perodua Myvi,Perodua,2008,"11,999",100 - 105K KM,Automatic
Toyota Wish,Toyota,2014,"58,900",175 - 180K KM,Automatic
Proton Preve,Proton,2015,"19,100",120 - 125K KM,Automatic
Suzuki Swift,Suzuki,2010,"17,900",195 - 200K KM,Automatic
Perodua Aruz,Perodua,2019,"54,000",95 - 100K KM,Automatic
Toyota Yaris,Toyota,2019,"60,000",65 - 70K KM,Automatic
Perodua Myvi,Perodua,2021,"49,000",55 - 60K KM,Automatic
