Model,Brand,Year,Price,Mileage,Transmission
Nissan Almera,Nissan,2015,"21,000","149,490 km",Automatic
Perodua Aruz,Perodua,2019,"50,600","88,806 km",Automatic
Daihatsu Gran,Daihatsu,2021,"40,000","104,943 km",Manual
Mercedes-Benz C250,Mercedes-Benz,2010,"43,000","147,362 km",Automatic
Proton Iriz,Proton,2019,"31,900","52,965 km",Automatic
Nissan Serena,Nissan,2020,"77,900","54,350 km",Automatic
Perodua Myvi,Perodua,2019,"42,000","84,642 km",Automatic
Toyota Camry,Toyota,2017,"81,800","84,959 km",Automatic
Mitsubishi Xpander,Mitsubishi,2022,"72,800","35,138 km",Automatic
Toyota Yaris,Toyota,2020,"52,900","51,545 km",Automatic
Proton Persona,Proton,2020,"37,900","60,499 km",Automatic
Proton Persona,Proton,2017,"25,900","98,457 km",Automatic
Perodua Myvi,Perodua,2021,"49,500","45,624 km",Automatic
Proton Saga,Proton,2019,"24,900","68,581 km",Automatic
Perodua Bezza,Perodua,2017,"33,800","116,495 km",Automatic
Perodua Bezza,Perodua,2018,"35,700","59,881 km",Automatic
Nissan Serena,Nissan,2018,"79,800","96,847 km",Automatic
Honda CR-V,Honda,2017,"83,800","111,979 km",Automatic
Perodua Bezza,Perodua,2017,"33,800","132,007 km",Automatic
Proton Persona,Proton,2018,"27,900","89,393 km",Automatic
Proton Saga,Proton,2024,"41,600","3,811 km",Automatic
Mazda CX-5,Mazda,2019,"92,800","94,751 km",Automatic
Nissan Almera,Nissan,2017,"32,800","100,969 km",Automatic
Perodua Myvi,Perodua,2018,"41,800","109,597 km",Automatic
Proton Saga,Proton,2016,"23,000","94,706 km",Automatic
Proton Persona,Proton,2017,"26,800","132,601 km",Automatic
Subaru XV,Subaru,2022,"102,800","36,161 km",Automatic
Proton Persona,Proton,2019,"31,900","94,369 km",Automatic
Honda HR-V,Honda,2019,"81,900","67,548 km",Automatic
Honda Civic,Honda,2022,"123,000","32,557 km",Automatic
Mazda CX-5,Mazda,2022,"123,800","41,575 km",Automatic
Honda City,Honda,2016,"42,100","144,535 km",Automatic
Perodua Bezza,Perodua,2018,"36,700","85,492 km",Automatic
Honda City,Honda,2017,"54,000","117,302 km",Automatic
Perodua Bezza,Perodua,2016,"32,800","88,860 km",Automatic
Perodua Bezza,Perodua,2019,"31,500","70,479 km",Automatic
Proton Saga,Proton,2019,"26,800","93,004 km",Automatic
Perodua Myvi,Perodua,2020,"44,000","66,503 km",Automatic
Proton Saga,Proton,2016,"23,000","83,358 km",Automatic
Proton Saga,Proton,2020,"29,200","51,402 km",Automatic
Mazda CX-5,Mazda,2020,"105,900","70,080 km",Automatic
Toyota Vios,Toyota,2017,"49,000","113,239 km",Automatic
Perodua Aruz,Perodua,2019,"52,900","89,802 km",Automatic
Perodua Myvi,Perodua,2016,"33,500","138,340 km",Automatic
Honda City,Honda,2019,"57,000","84,025 km",Automatic
Honda Odyssey,Honda,2017,"118,000","88,709 km",Automatic
Perodua Myvi,Perodua,2019,"44,800","96,580 km",Automatic
Toyota Sienta,Toyota,2017,"56,800","130,143 km",Automatic
Toyota Yaris,Toyota,2022,"69,900","39,190 km",Automatic
Mercedes-Benz GLA250,Mercedes-Benz,2017,"115,400","93,772 km",Automatic
Peugeot 3008,Peugeot,2018,"63,600","106,884 km",Automatic
Perodua Myvi,Perodua,2019,"44,800","94,766 km",Automatic
Toyota Yaris,Toyota,2020,"60,000","68,868 km",Automatic
Kia Sportage,Kia,2018,"54,500","102,964 km",Automatic
Proton Saga,Proton,2018,"24,800","86,117 km",Automatic
Perodua Bezza,Perodua,2016,"32,800","104,695 km",Automatic
Perodua Bezza,Perodua,2016,"32,800","124,713 km",Automatic
