Model,Brand,Year,Price,Mileage,Transmission
Toyota Alphard,Toyota,2014,79800,92000,Automatic
Mercedes-Benz CLA250,Mercedes-Benz,2016,108900,157000,Automatic
Volvo V50,Volvo,2006,32364,272000,Automatic
Ford Ranger,Ford,2021,82800,97000,Automatic
Ford Ranger,Ford,2019,85800,102000,Automatic
Proton Persona,Proton,2016,24400,128195,Automatic
Honda CR-V,Honda,2023,142000,32000,Automatic
Mitsubishi Triton,Mitsubishi,2023,110000,12000,Automatic
Perodua Myvi,Perodua,2018,43000,43416,Automatic
Perodua Myvi,Perodua,2019,46000,94028,Automatic
Subaru XV,Subaru,2019,79800,57000,Automatic
Nissan Almera,Nissan,2017,34000,122571,Automatic
Honda Civic,Honda,2023,126400,12000,Automatic
Honda Civic,Honda,2016,75300,127000,Automatic
Perodua Myvi,Perodua,2020,48000,72000,Automatic
Perodua Bezza,Perodua,2019,31500,70479,Automatic
Honda Jazz,Honda,2017,51000,99915,Automatic
Honda City,Honda,2014,38800,122000,Automatic
Perodua Bezza,Perodua,2016,32200,117750,Automatic
Proton Exora,Proton,2020,44400,69977,Automatic
Perodua Myvi,Perodua,2020,49000,32000,Automatic
Perodua Myvi,Perodua,2023,54500,7000,Automatic
Proton Persona,Proton,2020,33800,68562,Automatic
Perodua Bezza,Perodua,2016,31800,111911,Automatic
Perodua Myvi,Perodua,2019,44800,96580,Automatic
Proton Saga,Proton,2021,31900,44293,Automatic
Mazda CX-3,Mazda,2022,95000,32000,Automatic
Volkswagen Tiguan,Volkswagen,2018,59800,82000,Automatic
Toyota Vellfire,Toyota,2017,149800,72000,Automatic
BMW 520i,BMW,2020,139800,72000,Automatic
Ford Ranger,Ford,2018,61800,57000,Automatic
BMW X5,BMW,2019,88800,82000,Automatic
Mercedes-Benz GLC300,Mercedes-Benz,2022,225800,52000,Automatic
Volkswagen Tiguan,Volkswagen,2021,76800,57000,Automatic
Toyota Vellfire,Toyota,2017,124800,82000,Automatic
Volkswagen Tiguan,Volkswagen,2019,62800,67000,Automatic
Isuzu D-Max,Isuzu,2024,95800,37000,Automatic
Mercedes-Benz A250,Mercedes-Benz,2021,166800,47000,Automatic
Toyota Alphard,Toyota,2019,161800,92000,Automatic
Mitsubishi Triton,Mitsubishi,2020,89800,77000,Automatic
BMW 330i,BMW,2022,175800,37000,Automatic
Toyota Vellfire,Toyota,2019,177800,67000,Automatic
Nissan Navara,Nissan,2019,54800,72000,Automatic
