Model,Brand,Year,Price,Mileage,Transmission
Nissan Almera,Nissan,2015,21000,149490,Automatic
Perodua Aruz,Perodua,2019,50600,88806,Automatic
Daihatsu Gran,Daihatsu,2021,40000,104943,Manual
Mercedes-Benz C250,Mercedes-Benz,2010,43000,147362,Automatic
Proton Iriz,Proton,2019,31900,52965,Automatic
Nissan Serena,Nissan,2020,77900,54350,Automatic
Perodua Myvi,Perodua,2019,42000,84642,Automatic
Toyota Camry,Toyota,2017,81800,84959,Automatic
Mitsubishi Xpander,Mitsubishi,2022,72800,35138,Automatic
Toyota Yaris,Toyota,2020,52900,51545,Automatic
Proton Persona,Proton,2020,37900,60499,Automatic
Proton Persona,Proton,2017,25900,98457,Automatic
Perodua Myvi,Perodua,2021,49500,45624,Automatic
Proton Saga,Proton,2019,24900,68581,Automatic
Perodua Bezza,Perodua,2017,33800,116495,Automatic
Perodua Bezza,Perodua,2018,35700,59881,Automatic
Nissan Serena,Nissan,2018,79800,96847,Automatic
Honda CR-V,Honda,2017,83800,111979,Automatic
Perodua Bezza,Perodua,2017,33800,132007,Automatic
Proton Persona,Proton,2018,27900,89393,Automatic
Proton Saga,Proton,2024,41600,3811,Automatic
Mazda CX-5,Mazda,2019,92800,94751,Automatic
Nissan Almera,Nissan,2017,32800,100969,Automatic
Perodua Myvi,Perodua,2018,41800,109597,Automatic
Proton Saga,Proton,2016,23000,94706,Automatic
Proton Persona,Proton,2017,26800,132601,Automatic
Subaru XV,Subaru,2022,102800,36161,Automatic
Proton Persona,Proton,2019,31900,94369,Automatic
Honda HR-V,Honda,2019,81900,67548,Automatic
Honda Civic,Honda,2022,123000,32557,Automatic
Mazda CX-5,Mazda,2022,123800,41575,Automatic
Honda City,Honda,2016,42100,144535,Automatic
Perodua Bezza,Perodua,2018,36700,85492,Automatic
Honda City,Honda,2017,54000,117302,Automatic
Perodua Bezza,Perodua,2016,32800,88860,Automatic
Perodua Bezza,Perodua,2019,31500,70479,Automatic
Proton Saga,Proton,2019,26800,93004,Automatic
Perodua Myvi,Perodua,2020,44000,66503,Automatic
Proton Saga,Proton,2016,23000,83358,Automatic
Proton Saga,Proton,2020,29200,51402,Automatic
Mazda CX-5,Mazda,2020,105900,70080,Automatic
Toyota Vios,Toyota,2017,49000,113239,Automatic
Perodua Aruz,Perodua,2019,52900,89802,Automatic
Perodua Myvi,Perodua,2016,33500,138340,Automatic
Honda City,Honda,2019,57000,84025,Automatic
Honda Odyssey,Honda,2017,118000,88709,Automatic
Perodua Myvi,Perodua,2019,44800,96580,Automatic
Toyota Sienta,Toyota,2017,56800,130143,Automatic
Toyota Yaris,Toyota,2022,69900,39190,Automatic
Mercedes-Benz GLA250,Mercedes-Benz,2017,115400,93772,Automatic
Peugeot 3008,Peugeot,2018,63600,106884,Automatic
Perodua Myvi,Perodua,2019,44800,94766,Automatic
Toyota Yaris,Toyota,2020,60000,68868,Automatic
Kia Sportage,Kia,2018,54500,102964,Automatic
Proton Saga,Proton,2018,24800,86117,Automatic
Perodua Bezza,Perodua,2016,32800,104695,Automatic
Perodua Bezza,Perodua,2016,32800,124713,Automatic
Perodua Myvi,Perodua,2018,42800,93094,Automatic
Perodua Bezza,Perodua,2017,31800,80877,Automatic
Perodua Bezza,Perodua,2018,34800,109846,Automatic
Perodua Aruz,Perodua,2020,55900,65120,Automatic
Hyundai Tucson,Hyundai,2014,26500,58336,Automatic
Toyota Harrier,Toyota,2017,117300,96309,Automatic
Perodua AXIA,Perodua,2019,31500,76990,Automatic
Perodua Aruz,Perodua,2020,53200,51780,Automatic
Perodua Myvi,Perodua,2020,45000,54249,Automatic
Perodua Myvi,Perodua,2019,44800,83677,Automatic
Proton Saga,Proton,2019,26800,91835,Automatic
Mercedes-Benz C250,Mercedes-Benz,2016,129000,68035,Automatic
Perodua Myvi,Perodua,2019,44800,85736,Automatic
Mazda CX-3,Mazda,2018,78000,59421,Automatic
Perodua Aruz,Perodua,2019,52900,92241,Automatic
Nissan Almera,Nissan,2021,57800,40163,Automatic
Kia Rio,Kia,2019,50700,87628,Automatic
Proton Saga,Proton,2021,29900,62946,Automatic
Honda City,Honda,2018,58700,104710,Automatic
Proton Saga,Proton,2020,29200,50896,Automatic
Perodua AXIA,Perodua,2019,28800,91926,Automatic
Perodua Bezza,Perodua,2017,34700,88300,Automatic
Proton Iriz,Proton,2019,29500,72202,Automatic
Honda City,Honda,2019,54200,73091,Automatic
Toyota Wish,Toyota,2014,58900,176332,Automatic
Perodua Bezza,Perodua,2017,31800,101474,Automatic
Honda Civic,Honda,2016,75300,122867,Automatic
Proton Saga,Proton,2017,23000,115769,Automatic
Perodua AXIA,Perodua,2021,39400,14187,Automatic
Mazda CX-5,Mazda,2014,37900,152243,Automatic
Proton Persona,Proton,2017,29900,99389,Automatic
Toyota Vios,Toyota,2016,49800,122177,Automatic
Perodua AXIA,Perodua,2019,31800,66459,Automatic
Perodua AXIA,Perodua,2019,28800,78354,Automatic
Honda Jazz,Honda,2015,43900,146958,Automatic
Toyota Wish,Toyota,2010,38800,135109,Automatic
Perodua Bezza,Perodua,2017,31800,124865,Automatic
Honda City,Honda,2018,58700,96970,Automatic
Perodua Myvi,Perodua,2016,36000,91042,Automatic
Perodua Myvi,Perodua,2019,44800,85384,Automatic
Toyota Vios,Toyota,2014,35800,166906,Automatic
Nissan Serena,Nissan,2017,61400,61739,Automatic
Perodua Aruz,Perodua,2019,52800,87702,Automatic
Honda City,Honda,2012,24900,195069,Automatic
Suzuki Jimny,Suzuki,2021,136000,43882,Automatic
Toyota Vios,Toyota,2016,50200,122039,Automatic
Toyota Yaris,Toyota,2019,61300,75131,Automatic
Proton Saga,Proton,2020,29200,57012,Automatic
Perodua Myvi,Perodua,2020,45900,79273,Automatic
Nissan Grand,Nissan,2011,17500,218301,Automatic
Mazda CX-5,Mazda,2018,85800,77046,Automatic
Toyota Vios,Toyota,2019,58400,69142,Automatic
Perodua Myvi,Perodua,2018,42800,118783,Automatic
Proton Persona,Proton,2016,26200,130405,Automatic
Proton Saga,Proton,2017,22300,108249,Automatic
Perodua Ativa,Perodua,2022,62000,39314,Automatic
Toyota Hilux,Toyota,2022,120000,30920,Automatic
Perodua Myvi,Perodua,2019,44800,93277,Automatic
Honda HR-V,Honda,2017,58000,125142,Automatic
Toyota Vios,Toyota,2017,49800,92403,Automatic
Perodua Bezza,Perodua,2017,31800,107435,Automatic
Honda Jazz,Honda,2016,49900,135411,Automatic
Toyota Yaris,Toyota,2021,61800,50850,Automatic
Honda Civic,Honda,2022,105800,41040,Automatic
Honda Jazz,Honda,2019,56900,90781,Automatic
Nissan X-Trail,Nissan,2015,37700,89720,Automatic
Toyota Vios,Toyota,2016,50300,116495,Automatic
